BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20240826,095570,AJ네트웍스,KOSPI,,4635,15,0.32,4640,4690,4570,153286,707521570,209746537965,45252759
20240826,006840,AK홀딩스,KOSPI,,13660,780,6.06,12880,13660,12760,5707,74903440,180961683260,13247561
20240826,027410,BGF,KOSPI,,3505,5,0.14,3510,3510,3470,35831,125097530,335487352455,95716791
20240826,282330,BGF리테일,KOSPI,,112700,0,0.00,112700,113600,111400,17278,1947989300,1947896206200,17283906
20240826,138930,BNK금융지주,KOSPI,,10210,180,1.79,10040,10340,10010,1448069,14761040700,3288522951980,322088438
20240826,001460,BYC,KOSPI,,33150,850,2.63,32100,35550,32100,5460,189296000,207059872500,6246150
20240826,001465,BYC우,KOSPI,,13180,50,0.38,13120,13360,12970,3533,46631660,28387743000,2153850
20240826,001040,CJ,KOSPI,,123200,-4300,-3.37,127500,130000,122800,65034,8116812700,3594606153600,29176998
20240826,079160,CJ CGV,KOSPI,,7030,240,3.53,6790,7110,6660,2028891,14034940700,1164025537050,165579735
20240826,00104K,CJ4우(전환),KOSPI,,92500,-2300,-2.43,94800,95000,91600,6637,613620500,390952360000,4226512
20240826,000120,CJ대한통운,KOSPI,,96400,2600,2.77,94000,97000,93500,76500,7309991800,2199109961600,22812344
20240826,011150,CJ씨푸드,KOSPI,,3435,-65,-1.86,3500,3515,3385,421571,1446251355,123422205255,35930773
20240826,011155,CJ씨푸드1우,KOSPI,,19030,90,0.48,18940,19030,18800,38,719830,3806000000,200000
20240826,001045,CJ우,KOSPI,,60600,-300,-0.49,60900,61200,60000,3169,191960900,136969513800,2260223
20240826,097950,CJ제일제당,KOSPI,,330000,-1000,-0.30,332000,332500,320500,47207,15335067500,4967881380000,15054186
20240826,097955,CJ제일제당 우,KOSPI,,140500,-500,-0.35,141300,141300,138000,5188,722315700,186504336500,1327433
