BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20210714,095570,AJ네트웍스,KOSPI,,6330,410,6.93,5990,7320,5900,3157239,21085142950,296385127350,46822295
20210714,006840,AK홀딩스,KOSPI,,28500,-550,-1.89,28800,28900,28100,31917,912314050,377555488500,13247561
20210714,027410,BGF,KOSPI,,6250,-50,-0.79,6280,6290,6230,109389,684141230,598229943750,95716791
20210714,282330,BGF리테일,KOSPI,,167500,-1500,-0.89,167500,168500,165500,24766,4144446500,2895054255000,17283906
20210714,138930,BNK금융지주,KOSPI,,7520,-70,-0.92,7540,7570,7500,727878,5481912150,2451033049920,325935246
20210714,001460,BYC,KOSPI,,401500,4500,1.13,394500,403000,394500,269,107810500,250782922500,624615
20210714,001465,BYC우,KOSPI,,183500,-1000,-0.54,186000,186000,182000,432,78933500,39523147500,215385
20210714,001040,CJ,KOSPI,,101000,-1000,-0.98,102500,102500,100500,70265,7131712500,2946876798000,29176998
20210714,079160,CJ CGV,KOSPI,,29400,-450,-1.51,29600,29750,29300,250371,7370023400,1031940000000,35100000
20210714,00104K,CJ4우(전환),KOSPI,,87400,0,0.00,86800,87400,86400,6651,578362600,369397148800,4226512
20210714,000120,CJ대한통운,KOSPI,,183500,-1500,-0.81,184000,184500,181500,32888,6024770500,4186065124000,22812344
20210714,011150,CJ씨푸드,KOSPI,,5020,125,2.55,4900,5050,4900,1033885,5146967730,180372480460,35930773
20210714,011155,CJ씨푸드1우,KOSPI,,44050,-450,-1.01,44600,44600,44050,782,34614750,8810000000,200000
20210714,001045,CJ우,KOSPI,,64300,-200,-0.31,64400,64500,64000,931,59885100,145332338900,2260223
20210714,097950,CJ제일제당,KOSPI,,452000,7500,1.69,444500,458000,441500,43879,19871120500,6804492072000,15054186
20210714,097955,CJ제일제당 우,KOSPI,,213500,4000,1.91,209500,214000,208000,5454,1158751000,283406945500,1327433
20210714,000590,CS홀딩스,KOSPI,,70300,200,0.29,70200,70800,69800,1373,96323300,81160084600,1154482
20210714,012030,DB,KOSPI,,1265,-5,-0.39,1270,1275,1245,2230605,2813873920,254485025245,201173933
20210714,016610,DB금융투자,KOSPI,,6960,-20,-0.29,6990,6990,6910,62611,434852470,295426867440,42446389
20210714,005830,DB손해보험,KOSPI,,55400,-400,-0.72,55700,56300,54800,143444,7961875800,3922320000000,70800000
